station_name,date,count
103RD STREET-LEXINGTON AVE,2012-09-28,88845
104TH STREET,2010-06-04,12449
104TH STREET,2010-06-11,13644
104TH STREET,2010-06-18,13719
104TH STREET,2010-06-25,11460
104TH STREET,2010-07-02,14094
104TH STREET,2010-07-09,10295
104TH STREET,2010-07-16,11504
104TH STREET,2010-07-23,11519
104TH STREET,2010-07-30,11449
104TH STREET,2010-08-06,13546
104TH STREET,2010-08-13,13645
104TH STREET,2010-08-20,13309
104TH STREET,2010-08-27,13110
104TH STREET,2010-09-03,13604
104TH STREET,2010-09-10,12669
104TH STREET,2010-09-17,14347
104TH STREET,2010-09-24,14295
104TH STREET,2010-10-01,13736
104TH STREET,2010-10-08,14225
104TH STREET,2010-10-15,13773
104TH STREET,2010-10-22,14186
104TH STREET,2010-10-29,14213
104TH STREET,2010-11-05,13946
104TH STREET,2010-11-12,13952
104TH STREET,2010-11-19,14170
104TH STREET,2010-11-26,12102
104TH STREET,2010-12-03,13897
104TH STREET,2010-12-10,13817
104TH STREET,2010-12-17,13585
104TH STREET,2010-12-24,12784
104TH STREET,2010-12-31,11872
104TH STREET,2011-01-07,13081
104TH STREET,2011-01-14,13220
104TH STREET,2011-01-21,12854
104TH STREET,2011-01-28,13356
104TH STREET,2011-02-04,14660
104TH STREET,2011-02-11,14277
104TH STREET,2011-02-18,14613
104TH STREET,2011-02-25,13211
104TH STREET,2011-03-04,14376
104TH STREET,2011-03-11,14324
104TH STREET,2011-03-18,14521
104TH STREET,2011-03-25,13860
104TH STREET,2011-04-01,11744
104TH STREET,2011-04-08,11797
